Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a,TickerYahoo
CEBR5,19.34,7.73,1.25,3.568,"10,20%",0.911,1.78,10.6,1.93,5.41,5.09,"33,67%","60,24%",9.39,"15,87%","16,18%",64394.7,1115020000.0,0.0,"3,66%",CEBR5.SA
BBSE3,33.67,7.79,5.77,0.0,"10,99%",3.635,0.0,6.95,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","74,13%",182819000.0,11662000000.0,0.0,"0,00%",BBSE3.SA
CESP5,25.0,7.82,1.09,5.633,"0,00%",0.595,5.02,22.43,-2.09,27.62,12.89,"25,12%","72,05%",3.32,"3,13%","13,95%",0.0,7992040000.0,0.51,"-2,66%",CESP5.SA
PFRM3,7.9,7.85,0.74,0.092,"7,28%",0.169,1.06,3.18,-61.07,5.39,3.42,"2,90%","1,25%",1.28,"9,61%","9,47%",1445310.0,1315040000.0,0.72,"17,05%",PFRM3.SA
CESP6,25.25,7.9,1.1,5.689,"0,00%",0.601,5.07,22.65,-2.11,27.84,13.0,"25,12%","72,05%",3.32,"3,13%","13,95%",0.0,7992040000.0,0.51,"-2,66%",CESP6.SA
CSUD3,17.41,7.96,1.47,1.257,"6,48%",1.027,16.61,5.87,-117.85,5.74,3.84,"21,42%","15,78%",1.27,"21,06%","18,47%",559339.0,494617000.0,0.13,"4,71%",CSUD3.SA
CESP3,25.55,7.99,1.11,5.757,"0,00%",0.608,5.13,22.92,-2.14,28.11,13.12,"25,12%","72,05%",3.32,"3,13%","13,95%",0.0,7992040000.0,0.51,"-2,66%",CESP3.SA
VIVA3,24.79,7.99,2.24,2.193,"2,66%",1.385,3.08,8.97,5.69,9.42,7.62,"24,45%","27,44%",3.54,"16,79%","28,05%",77794500.0,2611940000.0,0.18,"24,54%",VIVA3.SA
BBDC4,15.63,8.01,1.01,0.0,"7,98%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","12,59%",494918000.0,164193000000.0,0.0,"-4,48%",BBDC4.SA
CPFE3,37.22,8.04,1.93,0.995,"7,51%",0.545,-172.21,3.88,-1.13,6.07,5.14,"25,65%","13,04%",0.99,"15,61%","23,97%",46287900.0,22249300000.0,1.27,"6,17%",CPFE3.SA
WSON33,67.0,8.07,0.98,1.067,"0,00%",0.4,13.41,2.42,-0.89,5.08,5.08,"44,14%","13,58%",1.26,"18,36%","12,17%",0.0,2148530000.0,1.21,"5,23%",WSON33.SA
EQPA6,7.1,8.09,2.91,1.405,"9,28%",0.907,10.62,5.32,-2.52,6.78,5.93,"26,43%","17,37%",1.35,"21,61%","36,01%",169.48,5385610000.0,1.27,"15,15%",EQPA6.SA
CMIN3,5.33,8.09,2.86,1.73,"15,57%",0.828,3.17,5.82,-3.48,4.93,3.99,"29,75%","21,38%",2.24,"26,14%","35,30%",31648000.0,10233800000.0,0.96,"-0,49%",CMIN3.SA
CMET4,3.91,8.1,5.38,3.068,"0,00%",3.136,9.47,5.72,27.2,5.34,5.34,"53,63%","43,03%",2.64,"81,40%","66,40%",0.0,2847970000.0,0.18,"30,18%",CMET4.SA
RDTR3,6.3,8.11,1.37,0.0,"0,00%",1.32,0.0,-1919.75,0.0,-1897.05,-219.41,"0,00%","0,00%",0.0,"0,00%","16,95%",0.0,497092000.0,0.0,"0,00%",RDTR3.SA
ETER3,3.65,8.12,0.28,0.191,"3,44%",0.173,1.04,10.69,18.41,15.97,4.57,"1,79%","2,36%",1.72,"1,78%","3,49%",316581.0,795309000.0,0.17,"6,88%",ETER3.SA
COCE6,35.0,8.12,0.58,0.358,"0,00%",0.202,-0.87,2.49,-0.46,6.98,4.49,"14,39%","4,40%",0.48,"9,03%","7,19%",0.0,5174440000.0,1.11,"6,71%",COCE6.SA
TGMA3,34.01,8.13,2.33,1.048,"7,59%",1.664,4.61,6.37,6.93,5.97,5.54,"16,47%","12,93%",3.2,"36,66%","28,62%",9440510.0,965143000.0,0.21,"23,00%",TGMA3.SA
CBEE3,14.83,8.15,0.66,0.627,"2,82%",0.283,-2.15,4.85,-0.79,8.61,4.95,"12,92%","7,69%",0.62,"6,39%","8,14%",1011.12,8493750000.0,0.55,"5,49%",CBEE3.SA
MOVI3,6.13,8.16,0.82,0.152,"3,02%",0.073,-1.9,0.71,-0.11,6.32,3.65,"21,51%","1,86%",0.87,"13,31%","10,02%",47118100.0,2607680000.0,7.66,"35,89%",MOVI3.SA
BPAC5,8.68,8.17,1.67,0.0,"1,73%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","20,45%",30049.6,59778600000.0,0.0,"31,59%",BPAC5.SA
BLAU3,12.27,8.21,1.0,1.245,"2,75%",0.641,1.94,5.9,5.46,6.08,5.31,"21,09%","14,97%",3.23,"13,79%","12,18%",4424720.0,2201560000.0,0.23,"7,43%",BLAU3.SA
ELPL3,49.32,8.24,1.62,0.469,"0,00%",0.33,-2.18,3.05,-0.58,5.8,4.3,"15,38%","5,69%",0.6,"12,50%","19,68%",0.0,6004320000.0,1.64,"4,27%",ELPL3.SA
