Ticker,Preco,Valor_Contabil,P/VP,Divida_Total,Lucro_Liquido
BMIN4.SA,16.8,28.963,0.5800504091426993,0,8296000
MERC4.SA,9.5,14.181,0.6699104435512305,0,30150000
